Wall time,Step,Value
1770936328.5258296,4,1.241600513458252
1770936339.910969,9,1.2718733549118042
1770936350.483546,14,1.6256746053695679
1770936360.3438056,19,1.1731339693069458
1770936370.016724,24,1.5345667600631714
1770936379.530022,29,1.0975303649902344
1770936388.6767826,34,1.1074397563934326
1770936397.7557452,39,1.0037586688995361
1770936406.5644398,44,0.915873110294342
1770936415.4156368,49,0.9801064729690552
1770936424.0872827,54,0.9220715761184692
1770936432.9947603,59,1.0329399108886719
1770936441.461596,64,0.83980792760849
1770936449.564782,69,0.9446523189544678
1770936457.7495546,74,0.9225001931190491
1770936466.0511677,79,0.7960484027862549
1770936486.737648,84,0.853947639465332
1770936494.8374774,89,0.8204281330108643
1770936502.9080243,94,0.8414400815963745
1770936511.034219,99,0.8408067226409912
1770936519.1374404,104,0.7668284177780151
1770936527.4721289,109,0.8990903496742249
1770936535.1339033,114,0.8507869243621826
1770936543.0489082,119,0.7857680320739746
1770936551.0073864,124,0.7459816932678223
1770936558.7015953,129,0.8580689430236816
1770936566.15913,134,0.8127440214157104
1770936573.5211022,139,0.713584840297699
1770936581.073969,144,0.7435934543609619
1770936588.9287786,149,0.7414102554321289
1770936596.1638787,154,0.7474663853645325
1770936603.8263836,159,0.7307887673377991
1770936611.4557242,164,0.8024991154670715
1770936624.8093376,169,0.7104324102401733
1770936632.0228345,174,0.7813106179237366
1770936639.2555509,179,0.7343272566795349
1770936646.459326,184,0.7471839189529419
1770936653.3810792,189,0.7539730072021484
1770936660.4884746,194,0.7360132336616516
1770936667.5469196,199,0.7311559319496155
1770936674.100643,204,0.7295621037483215
1770936681.335028,209,0.7114653587341309
1770936688.292754,214,0.7858292460441589
1770936695.9652827,219,0.7654790878295898
1770936703.351042,224,0.7384083867073059
1770936710.9703157,229,0.8968832492828369
1770936718.2357883,234,0.693733274936676
1770936725.5590973,239,0.6861190795898438
1770936732.7959719,244,0.6367090344429016
1770936745.820431,249,0.6465246677398682
1770936753.2865658,254,0.7034751772880554
1770936761.2263877,259,0.6554032564163208
1770936768.3072584,264,0.6470155119895935
1770936775.3206463,269,0.5931470990180969
1770936782.8808026,274,0.6190813779830933
1770936790.3714569,279,0.7958152890205383
1770936797.317151,284,0.7009525299072266
1770936804.3520286,289,0.6554639339447021
1770936811.365589,294,0.7309218645095825
1770936818.3764184,299,0.6856265068054199
1770936825.2495809,304,0.6910094618797302
1770936832.3813422,309,0.6077785491943359
1770936839.2576447,314,0.7086260914802551
1770936846.2038183,319,0.6970344185829163
1770936853.189095,324,0.5615566968917847
1770936860.094201,329,0.7220253348350525
1770936870.7121751,334,0.701015293598175
1770936877.630975,339,0.6759862899780273
1770936884.5816765,344,0.6038361191749573
1770936891.3425395,349,0.6526727676391602
1770936897.8233318,354,0.6547996401786804
1770936904.362583,359,0.7276650071144104
1770936910.9368985,364,0.6717854738235474
1770936917.2883651,369,0.6161077618598938
1770936923.6894965,374,0.5864312648773193
1770936930.084473,379,0.5892630219459534
